tweet_stemmed;target_new
vaccines that changed your life smallpox rabies tetanus typhoid fever tb diphtheria whooping cough yellow fever flu polio measles mumps rubella chickenpox;1
perkara blm vaksin gabisa main  liat temen gue debut anjiir ;0
nya bantu sertifikat vaksin dosis muncul aplikasi peduli lindung nihil bantu peduli sulit berangkat layar full vaksin dosis dosis mohon;0
kenal cikgu prasekolah tganu tolak vaksin nasihat pujuk perli carut tegar prasekolah buka;1
cepat vaksinasi polda papua dinas didik libat siswasiswi sekolah duta vaksin papua apresiasi ksp polrigelorakanvaksinasi prokes sambut pon;1
amerika serikat banjir kartu vaksin palsu china httpstcoavrhxcrqx;0
sekjen pbb sorot vaksin kedaluwarsa negara miskin bagi jatah httpstcodczgwcnvrz;0
prajurit tni al lantamal serbu vaksin nelayan pesisir jakarta vaksinasi massal upaya cegah lonjak covid;1
laksana pam laksana vaksin moderna puskesmas kelbrohol utk cegah tular covid patuh protokol sehat tetap perintah;1
merlynn masyarakat lupa vaksin yahhh;1
adam benk yg sana vaksin amp utk coba;0
selamat siang pakbu susanto pangkal brandan vaksin dosis polres stabat tanggal september sertifikat online aplikasi peduli lindung tolong input data puskesmas dekat;0
vaksin tahap perintah dorong vaksinasi lansia remaja httpstcoggxwtot;1
jadwal tugas vaksin trs sibuk bgt input data jarijari pegal kasih blg kak kaka pas gue liat iiii gemes banget penasaran sempet buka pas istirahat isi;1
maaf camer pikir miskin sertifikat tanah harga sertifikat vaksin;0
vaksin covid lindung keluarga divisihumaspolri polresjakartapusat poldametrojaya  httpstcopwvlkal;1
cirebon masyarakat vaksin covid informasi jadwal vaksinasi kota cirebon proses vaksinasi;1
kurnianianiu vaksin ngak vaksin ngavaksinlah masak engakvaksinlah biar cepet herd immunity yes;1
cieee adek vaskin dah kelar abis vaksin dekkk;1
 akuh wes vaksin ;1
salmasalsall vaksin ngak vaksin ngavaksinlah masak engakvaksinlah biar cepet herd immunity yes;1
cokeaddict dokter jill valentine ayok vaksin pasang poster gede godzilla ah;1
abang canda kalo udah vaksin titan titan aot abang teteh adek udah vaksin mama bikin story gin wa ;1
selenggara vaksin gk anj bilang dosis pas vaksin dosis eh pas nyampe tempat gk gk info lanjut taii;0
salsasasaaaa vaksin ngak vaksin ngavaksinlah masak engakvaksinlah biar cepet herd immunity yes;1
mw vaksin      ;1
butirandebuabu vaksin ngak vaksin ngavaksinlah masak engakvaksinlah biar cepet herd immunity yes;1
masyarakat cepat capai target vaksinasi perintah harap selu  httpstcoozezjcaqg;1
ghosani vaksin ngak vaksin ngavaksinlah masak engakvaksinlah biar cepet herd immunity yes;1
jisungers u vaksin  ;1
brarti kadrun krn dgn benar yg yakin dgn vaksin pandemi selesai pandemi sdh selesai tdk tangan kotor yg ambil untung pandemi;0
jogmfs iya tinggal dteng lg aja nder sm bwa kartu vaksin yg prtama fc ktp;1
positif hamilll kalo positif c word yeuuu tau gue aja kalo alumni c word nunggu after papar vaksin lg c word emng bolee;0
vaksin aja udah kayak rebut m ;0
udah vaksin sertifikat tulis vaksin ;0
kerupukulit lupa vaksin warga jateng;1
cuepacs gesa kjaan wajib jawat awam ambil vaksin httpstcoezwlnamze;1
guys kalo vaksin nya beda vaksin yg nggak ya fess;1
bos abis vaksin    ;1
after sultan made noise jai selangor had line list turn up only vaccinated ramai cikgu agama nak cucuk vaksin nak tag sapa ni;0
aduhhhhhhh klo yg d lngsung buru vaksin bu dokter   tp sayang camer       httpstconwfxlzllum;0
stok vaksin covid kota pekanbaru sedia vial httpstcolpnkiaad;1
sridianava aduhhhhhhh klo yg d lngsung buru vaksin bu dokter   tp sayang camer      ;0
oktober anakanak india vaksin covid covid covid httpstcotmywjqly;1
laksana pam laksana vaksin moderna puskesmas kel tj marulak utk cegah tular covid patuh protokol sehat tetap perintah;1
imf desak negara kaya sumbang vaksin covid republika online covid covid httpstcoowqvqglvdf;1
cahayaacb vaksin;1
ken nonton bioskop pas vaksin vaksin desember;0
nak amik vaksin jumaat ni woi ready nak duduk kat public httpstcobkftvjejj;0
pundek guru  nak vaksin ni susah org;0
emg bgt ya pake apk pedulilindungi kalo cetak kartu vaksin gabisa kah orang tua yg gapunya hp gimana;0
pilghie sempat gak x nih jd yuk vaksin;1
elshaka ayo warga jawa vaksin;1
anakrumbai ayo vaksin usaha;1
celinejkt ciee abis vaksin   lupa makan siang minumistirahat ya moga efek samping ringan celine ;1
sodor berita menko luhut matimatian bela investor china bangun pabrik vaksin mudahmudahan beliau pulih cinta tanah air;0
kalo yg hndk be vaksin gedung sultan suriansyah pagi sore vaksin sinovac klo kd salah;1
qwiselle vaksin sehat;1
mmuzaqi ayo vaksin yaaa;1
merlynn semangattt nih vaksin;1
neng bgt dpt vaksin ;1
yuuwinie kalo abis vaksin lengan yg suntik sakit banget;0
thisvian infoin vaksin kalo ga vaksin gabisa masuk gym wkwk capek deh;0
kepala dinkes ntt dr mese autapah sulit ntt sadar vaksinasi masyarakat takut efek samping vaksin katawargatentangpengalamanvaksinasi kawalcovid katadatacoid;0
dewawedha lewat sempat vaksin nib;1
jog yg mahasiswa yg kemarin vaksin massal kapolda diy gor uny yg dosis besok tempat ga ya ga info blas ki;0
halo w abis vaksin;1
benk mayoritas cari sertifikat vaksin coba aja rakyat kompak protes utk batal bijak sertifikasi;0
piala aff gelar timnas indonesia juara httpstcoyiclfy syariahsumberkeberkahan  httpstcofexmypzvh;1
semangat vaksinasi semangat indonesia sehat moga cepat cipta herd immunity yah sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
sudaaaahh adaaa  tinggal vaksin yokks httpstcoaxbulzg;1
sumpah babi patut vaksin harini lastlast ni kena covid kontak rapat okay sihat ja rumah malam lepas okay ja biru time nak vaksin ni;0
hyomocellin sukses program vaksin yuk;1
suntik ribu dosis vaksin indonesia tangguh httpstcoosytzccou;1
pilghie banget warga vaksin;1
cari vaksin sinovac daftar httpvaksinasiserviamcom sinovac dosis sampe sabtu tgl september lokasi vaksin sekolah st ursula bsd;1
ranselrombeng vaksin sblm ptm;1
vaksin mager ya ;0
bts pas un ga kemaren tekan vaksin njuk theres a health mister yg antivaxx hadir acara and apparently revealed to be tested positive for covid thr next day   the irony ;0
indonesia tambah dosis vaksin astrazeneca httpstcolakdivmu;1
sekian abad ternyta dpet  eh iya klo ngecek setif vaksin mana ya peduli lindung ngga httpstcosvqmqg;1
waspada pandemi taat protokol sehat sedherek vaksin laku vaksinasi covid sentra vaksinasifaskes dekat jogjabakohcovid indonesiabisa indonesiabangkit;1
siap vaksin;1
september juta orang vaksin dosis juta orang dosis lengkap;1
rzksyf sempat vaksin nih y x g gass;1
suruh vaksin nak dah tu pulak kena duduk rumah spreader   ;0
mamaacha ikut vaksin bantu perintah;1
twicemygf oh ya vaksin hujung     ;0
salsacaca vaksin utk sehat;1
vaksin lusa lesu badan ni laju bethol side effect;0
nak masuk shopping mall takde  my sejahtera  orang korea pakai kakaotalk takpe call number tu as check in and vaksin takpe;0
nadiaaaprilia yukyukk vaksin biar smuanya pandemi;1
kjri barcode vaksin covid indonesia baca sistem arab saudi httpstcoxjkxomwue box misteri  httpstcosszwiwt;0
ayudia vaksin utk cepat herd imunity;1
kjri barcode vaksin covid indonesia baca sistem arab saudi httpsbaperanewscomkjrisebutbarcodevaksincovidindonesiatakterbacadisistemarabsaudi everysecondwithhyoyeon nestle jkwetmajukankrakatausteel usaha mandiri utksemua stopfitnahfpi percepatkekebalankomunal lee jeno thank you;0
merlynn gassin vaksin mmpg sempat;1
kjri barcode vaksin covid indonesia baca sistem arab saudi httpstcoxjkxomwue ikon made m  httpstconczysdkf;0
vaksin nggak bilang ngelindungin sih lun kemarin mama orang yg vaksin dikelurgaku tp orang jg yg kena covid tp karna udah vaksin sakit nggak parah mama sakit gula darting;1
vitamenzhe asik udh slese vaksin;1
kjri barcode vaksin covid indonesia baca sistem arab saudi httpsbaperanewscomkjrisebutbarcodevaksincovidindonesiatakterbacadisistemarabsaudi syariahsumberkeberkahan plnmobile starsforseungmin semuamakinmudah vaksin lindung indonesia partai ;0
cahayaacb ayok vaksin utk;1
ayo vaksin;1
presiden turki nasionalisme vaksin aib manusia httpvaacomtr;0
indonesia terima vaksin covid juta dosis httpstcognugcvwy box misterius erick thoh  httpstcozopqqbdrb;1
indonesia terima vaksin covid juta dosis httpsbaperanewscomindonesiakembaliterimavaksincovidsebanyakjutadosis everysecondwithhyoyeon nestle jkwetmajukankrakatausteel usaha mandiri utksemua stopfitnahfpi percepatkekebalankomunal lee jeno thank you;1
yey habis vaksin mimik es teh sm bakso;1
alhamdulillah anggota keluarga vaksin;1
indonesia terima vaksin covid juta dosis httpstcognugcvwy ikon made me proud bangg  httpstcozaejoapugo;1
