Skor_CFIT,Skor_APM,Skor_WA,skor_AN,AVG_ RA_ZR,AVG_FA_WU,skor Bisnis,Skor_sosial,Skor_desain,Skor_hitungan,Ket_ES,Ket_RE,Ket_AVG_4-6-8,skor_ACT,skor_DES,skor_FEAS,E1_Score,E2_Score,E3_Score,E4_Score,E5_Score,E6_Score,AVG_E,IPK
15.0,11.0,12.0,12.0,11.5,10.0,20.0,19.0,5.0,3.0,Cukup,Kurang,Kurang,,,,B+,B,A-,A-,A-,A,81.66250000000001,3.32
15.0,15.0,14.0,12.0,12.0,9.0,20.0,14.0,5.0,11.0,Baik,Kurang,Cukup,,,,A-,B,A-,A-,B,B+,78.32833333333333,3.2
18.0,16.0,11.0,11.0,13.0,12.5,20.0,11.0,12.0,6.0,Baik,Baik,Tinggi,19.650823029061982,13.813032183576276,17.616389548693586,A,B,A-,A-,B,B+,79.99583333333334,3.36
13.0,10.0,10.0,13.0,9.0,11.5,20.0,16.0,10.0,8.0,Cukup,Baik,Cukup,,,,B+,B+,A-,A,B+,A-,81.66250000000001,3.64
18.0,13.0,12.0,12.0,13.5,11.0,20.0,17.0,7.0,16.0,Cukup,Baik,Baik,20.280893124360084,15.544883821619283,15.953681710213777,A,A,A-,A,A,A,90.8325,3.57
13.0,17.0,12.0,11.0,9.5,12.0,20.0,19.0,7.0,10.0,Cukup,Cukup,Kurang,,,,A-,A-,A-,A-,A,B,82.49583333333334,3.52
17.0,14.0,10.0,11.0,12.0,12.0,20.0,12.0,11.0,17.0,Baik,Baik,Cukup,17.130542647869575,16.699451580314623,16.42874109263658,B+,B,B,A,B,B+,77.49583333333334,3.19
15.0,18.0,11.0,14.0,13.0,14.0,20.0,18.0,12.0,5.0,Cukup,Rendah,Baik,,,,B+,A-,A,A,A,A,88.33166666666666,3.48
18.0,8.0,11.0,11.0,11.5,11.5,20.0,12.0,4.0,17.0,Baik,Baik,Tinggi,15.555367409624319,13.52439024390244,15.241092636579573,A-,A-,A,A,A,A,89.165,3.42
13.0,16.0,13.0,12.0,13.0,12.5,18.0,12.0,14.0,1.0,Baik,Cukup,Baik,,,,B+,A-,A,A,B+,A-,84.16333333333334,3.5
18.0,18.0,12.0,14.0,14.0,13.5,20.0,19.0,2.0,2.0,Cukup,Kurang,Cukup,19.33578798141293,15.833525761293117,17.378859857482187,A,A-,A-,A,B,B+,83.33,3.46
18.0,15.0,12.0,13.0,12.5,10.5,19.0,15.0,5.0,7.0,Baik,Baik,Baik,17.130542647869575,14.390316062923944,14.52850356294537,B+,A-,A-,A-,A-,B,79.995,3.27
14.0,12.0,12.0,12.0,11.0,11.0,18.0,18.0,7.0,6.0,Cukup,Cukup,Cukup,,,,B+,B,A,A-,A-,A-,81.66250000000001,3.42
13.0,15.0,9.0,12.0,10.5,12.5,20.0,18.0,9.0,5.0,Kurang,Cukup,Kurang,,,,B+,B,B,A,A,A,83.33083333333333,3.38
18.0,16.0,14.0,11.0,14.0,12.0,18.0,19.0,6.0,3.0,Kurang,Baik,Cukup,20.280893124360084,14.390316062923944,19.7541567695962,B,B+,A,B+,A-,A,82.49666666666667,3.42
13.0,18.0,10.0,12.0,10.5,12.0,20.0,18.0,2.0,12.0,Tinggi,Baik,Baik,,,,B+,B+,B-,A-,A-,A-,78.32833333333333,3.01
15.0,16.0,10.0,12.0,15.0,10.5,19.0,14.0,3.0,16.0,Cukup,Kurang,Baik,,,,A-,B,A-,B+,A,A-,81.66250000000001,3.38
12.0,12.0,12.0,11.0,11.5,11.5,20.0,11.0,5.0,17.0,Baik,Kurang,Tinggi,,,,B+,B-,A-,A,B+,A-,79.99583333333334,3.43
12.0,17.0,12.0,10.0,10.5,10.0,18.0,11.0,20.0,1.0,Cukup,Cukup,Baik,,,,A-,A-,B+,A,B+,A-,82.49583333333334,3.16
18.0,15.0,12.0,11.0,10.5,14.0,20.0,13.0,1.0,16.0,Baik,Baik,Tinggi,20.280893124360084,15.256241881945448,16.42874109263658,A,B,A,A-,B,B+,81.66333333333334,3.47
18.0,11.0,12.0,12.0,10.5,11.5,20.0,20.0,3.0,4.0,Baik,Tinggi,Baik,14.610262266677166,12.369822485207102,18.09144893111639,B+,B+,A,A-,B,B+,79.99583333333334,3.45
18.0,18.0,14.0,14.0,14.0,12.0,20.0,9.0,5.0,15.0,Cukup,Baik,Cukup,17.760612743167677,12.947106364554772,18.566508313539195,B,A-,A,B+,A-,A,83.33,3.12
17.0,12.0,11.0,10.0,12.5,13.0,20.0,12.0,14.0,13.0,Baik,Baik,Baik,19.965858076711033,14.10167412325011,14.52850356294537,A-,B+,A,A,A-,A-,84.99666666666667,3.51
15.0,19.0,10.0,12.0,14.0,11.0,20.0,19.0,1.0,14.0,Baik,Baik,Baik,,,,B,A-,B+,B+,B+,A-,78.32833333333333,3.38
