Requirement_Text,Final_Class
The app shall run on a smart phone with Android OS least version 2.3 .,YES
"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006.",YES
The icons shall be according to the Android Icon Guidelines.,YES
The user interfaces shall be according to the Android User Interface Guidelines.,NO
"The Twitter ""tweet"" interface shall be according to the Twitter Guidelines.",YES
"The Facebook ""like"" interface shall be according to the Facebook Guidelines.",YES
The campus map shall cover the campus of the TU/e.,NO
The campus map shall cover the central train station of Eindhoven.,NO
A new stylistic map must have the right dimensions.,YES
A new stylistic map must be geographically correct.,YES
News will be restricted to what is available in the feeds on the list of news RSS-feeds.,NO
Agenda will be restricted to what is available in the feeds on the list of agenda RSS-feeds.,NO
Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,YES
The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,NO
The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,NO
"The search response time for the system must consistently be within two seconds, with an ideal goal of one second, based on measurments from 1000 searches during testing.",YES
"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",YES
"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",YES
"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",YES
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",YES
"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",YES
The application requires an internet connection to function.,YES
The application requires a GPS connection for functionality.,NO
Login communication must be 100% encrypted to prevent usernames and passwords from being intercepted during data exchange between the application and server.,YES
The restaurant owner login system must always prevent unauthorized access by notifying users of failed login attempts with non-existent accounts.,YES
The admin login system must always block unauthorized access and notify admins of failed login attempts with non-existent accounts.,YES
"To prevent unauthorized access, restaurant owner accounts will be locked for 30 minutes after three failed login attempts, disabling login functionality during that period.",YES
"Admin accounts will be secured by a 30-minute lockout following three failed login attempts, preventing access from that IP address during the lockout period.",YES
"The system will enforce unique usernames during user account creation, prompting users to choose a different username if their desired one is already taken.",YES
"Restaurant owner account creation prioritizes security by enforcing unique usernames, requiring them to choose a different option if their desired name is unavailable.",YES
"The application's code structure should be designed for easy extension, facilitating the addition of new features.",YES
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,YES
The application should be designed for easy porting between iOS and Android platforms.,YES
"The system must support 10,000 concurrent users with a maximum response time of 2 seconds.",YES
"The system will be developed using Waterfall methodology, Object-Oriented Programming in Java, targeting Android devices 2.3 onwards with a mandatory internet connection.",YES
​ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,YES
The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,YES
The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,YES
The accuracy of the Generic Question Construction​ part will be close to 80%,YES
The system will be designed in such a way that the algorithms for the four main units will be easily swapped out.,YES
"A Drexel University Web API is being designed to answer questions about campus facilities, staff, policies, dining, and food trucks, with accuracy ranging from 40% for food trucks to 80% for generic question construction.",NO
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds",YES
"The connection between the Web API and the programs will use HTTPS, for security.",YES
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,YES
The search feature should be prominent and easy to find for the user.,YES
"The different search options should be evident, simple and easy to understand.",YES
Users should be able to easily understand and select results from the list with just a single click.,YES
"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",YES
"The information link for each result should be clear, easy to identify, and open with just a single click.",YES
The user interface should be GUI based.,YES
The user shall be able to enter data using a cell phone keypad layout.,NO
Users shall be able to configure settings both locally on the device and remotely.,NO
The system shall provide selection menus to minimize the need for manual typing of options.,YES
Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,NO
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,YES
"The only hazard is a user using the device when they should not be, such as while driving.",NO
Secure connection to an internal system shall be required for user login and identification.,YES
"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the user’s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",YES
"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).",YES
Users shall be able to trust and understand the system through its simplicity and transparency.,YES
The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,YES
The system shall employ encryption for all privacy-sensitive data at rest to ensure both security and basic functionality.,YES
The system shall allow users to create unverified (anonymous) avatars or aliases.,NO
"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",YES
"The system shall be multilingual, supporting English, Turkish, Finnish, and Italian for international deployment.",YES
The system shall support the display of all user interface text elements in both English and Dutch.,YES
The system shall allow qualified programmers to extend functionality through adding sub-apps and launchers.,YES
The system shall allow authorized users to delete sub-apps and their launchers within the main application.,NO
"The system shall allow application maintainers to configure information sources for sub-applications like agenda, news, Facebook, and Twitter.",YES
"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",YES
"The application shall be extensible, allowing skilled Java Android programmers to add new sub-applications with launchers to the main interface.",YES
Radford University students shall use their RU credentials to access automatic class schedule and assignment sharing.,YES
"The system shall operate primarily offline, with networked authentication components functioning only when Radford University's systems are available.",NO
